#F=N,X,Y,Z
IMG_1168_RGB.tif,-4.01706413004763,52.5088082356762,127.14399999854
IMG_1169_RGB.tif,-4.01737951603424,52.5088858342459,125.33999999854
IMG_1170_RGB.tif,-4.01766787941574,52.5089672035012,123.66099999854
IMG_1171_RGB.tif,-4.0181394310392,52.5091160886234,123.78799999854
IMG_1172_RGB.tif,-4.01854777757803,52.5092405128034,123.90499999854
IMG_1209_RGB.tif,-4.0187204654371,52.5089323827101,133.90499999854
IMG_1210_RGB.tif,-4.01840303723859,52.5088500604267,134.43899999854
IMG_1211_RGB.tif,-4.01807862583118,52.508765790018,131.77699999854
IMG_1212_RGB.tif,-4.01777665687959,52.5086806654999,128.97099999854
IMG_1213_RGB.tif,-4.01738764905881,52.508571471192,128.65699999854
IMG_1297_RGB.tif,-4.01782305941178,52.508398985144,125.83499999854
IMG_1298_RGB.tif,-4.01809308111679,52.5084815116305,126.54299999854
IMG_1299_RGB.tif,-4.0183483877082,52.5085584695622,126.99199999854
IMG_1300_RGB.tif,-4.01863528141649,52.5086401730517,126.62299999854
IMG_1301_RGB.tif,-4.01892713791794,52.5087167909549,126.65599999854
IMG_1338_RGB.tif,-4.01932844068215,52.5084715899406,130.48799999854
IMG_1339_RGB.tif,-4.0189503351481,52.5083749358218,128.38899999854
IMG_1340_RGB.tif,-4.01863684191918,52.5082852842769,126.66599999854
IMG_1341_RGB.tif,-4.01831305081275,52.5081941835509,127.23699999854
IMG_1342_RGB.tif,-4.01798206756262,52.5081087928417,127.38399999854
